Country,Threads,Run,Setup,Execution,Actual
Guam,1,0,3.861,7.472,8.063655376434326
Guam,1,1,3.823,7.227,8.068537950515747
Guam,1,2,3.856,7.318,8.066150903701782
Guam,2,0,3.4,5.854,6.0607569217681885
Guam,2,1,3.384,5.859,6.05996561050415
Guam,2,2,3.344,5.151,6.061787128448486
Guam,3,0,3.238,6.864,8.069337606430054
Guam,3,1,3.231,6.318,8.067042112350464
Guam,3,2,3.217,6.429,8.069332599639893
Guam,4,0,3.127,5.607,6.0640974044799805
Guam,4,1,3.132,5.529,6.061857223510742
Guam,4,2,3.105,5.877,6.058711290359497
Guam,5,0,3.052,5.308,6.061341285705566
Guam,5,1,3.034,5.221,6.057764053344727
Guam,5,2,3.067,5.367,6.060388565063477
Guam,6,0,3.007,5.413,6.06174373626709
Guam,6,1,3.007,5.59,6.056612253189087
Guam,6,2,3.008,5.409,6.0567991733551025
Guam,7,0,3.041,7.635,8.097795009613037
Guam,7,1,3.001,5.65,6.06010627746582
Guam,7,2,3.007,5.489,6.061464548110962
Guam,8,0,2.973,5.632,6.06090521812439
Guam,8,1,3.005,5.85,6.060746431350708
Guam,8,2,3.018,5.85,6.062780380249023
Guam,9,0,2.994,6.087,8.065444469451904
Guam,9,1,2.979,5.642,6.061775207519531
Guam,9,2,2.993,5.759,6.059826374053955
Guam,10,0,2.983,5.569,6.059579133987427
Guam,10,1,2.959,5.689,6.056727409362793
Guam,10,2,3.017,4.769,6.057421922683716
Guam,11,0,2.976,5.882,6.060284852981567
Guam,11,1,2.957,5.728,6.062623977661133
Guam,11,2,3.002,7.61,8.066427230834961
Guam,12,0,2.956,4.121,6.05846095085144
Guam,12,1,2.959,5.733,6.057120084762573
Guam,12,2,2.943,6.26,8.06639838218689
Guam,13,0,2.948,5.885,6.057938098907471
Guam,13,1,2.983,5.981,8.148295640945435
Guam,13,2,2.99,5.707,6.059558868408203
Guam,14,0,2.95,4.632,6.058448076248169
Guam,14,1,2.946,5.903,8.065223455429077
Guam,14,2,2.957,4.644,6.0605950355529785
Guam,15,0,2.974,6.192,8.067944288253784
Guam,15,1,2.996,5.246,6.05765175819397
Guam,15,2,2.95,4.895,6.058128118515015
Guam,16,0,2.97,6.854,8.067206382751465
Guam,16,1,2.948,6.326,8.066890239715576
Guam,16,2,2.977,6.769,8.069824695587158
